image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.0.jpg,0.001,0.0,0.001,0.0,0.979,0.011,0.009,0.0
joy.12.jpg,0.016,0.001,0.029,0.0,0.824,0.109,0.021,0.0
joy.20.jpg,0.0,0.0,0.0,0.0,0.997,0.003,0.001,0.0
joy.21.jpg,0.0,0.0,0.001,0.0,0.961,0.033,0.005,0.0
joy.24.jpg,0.0,0.0,0.0,0.0,0.904,0.065,0.031,0.0
joy.26.jpg,,,,,,,,
joy.27.jpg,0.0,0.0,0.0,0.0,0.993,0.007,0.0,0.0
joy.30.jpg,0.0,0.0,0.0,0.0,0.974,0.026,0.001,0.0
joy.38.jpg,0.0,0.0,0.0,0.0,0.787,0.208,0.005,0.0
joy.4.jpg,0.003,0.001,0.008,0.0,0.931,0.049,0.008,0.0
joy.42.jpg,0.0,0.0,0.0,0.0,0.989,0.003,0.008,0.0
joy.48.jpg,,,,,,,,
joy.50.jpg,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0
joy.51.jpg,0.001,0.0,0.001,0.0,0.68,0.31,0.005,0.002
joy.57.jpg,,,,,,,,
joy.69.jpg,0.004,0.004,0.02,0.0,0.719,0.24,0.012,0.0
joy.76.jpg,,,,,,,,
joy.77.jpg,0.001,0.0,0.001,0.0,0.979,0.011,0.009,0.0
joy.78.jpg,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0
joy.8.jpg,0.0,0.0,0.0,0.0,0.863,0.135,0.001,0.0
neutral.12.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.15.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.27.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.28.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.3.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.43.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.44.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.51.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.53.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.55.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.59.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.64.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.66.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.68.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.71.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.73.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.74.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.75.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
neutral.76.jpg,0.0,0.0,0.0,0.0,0.957,0.042,0.001,0.0
neutral.78.jpg,0.0,0.0,0.0,0.0,0.732,0.266,0.001,0.0
surprise.11.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.12.jpg,0.0,0.0,0.0,0.0,0.871,0.125,0.003,0.0
surprise.15.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
surprise.20.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.28.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
surprise.30.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.32.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.37.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
surprise.45.jpg,0.0,0.0,0.0,0.0,0.871,0.125,0.003,0.0
surprise.49.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.50.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.51.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
surprise.54.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.55.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.56.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.57.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.64.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
surprise.69.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.72.jpg,0.0,0.0,0.0,0.0,0.964,0.036,0.001,0.0
surprise.79.jpg,0.0,0.001,0.001,0.0,0.816,0.153,0.03,0.0
